,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_gamma,params_learning_rate,params_tau,state
0,0,405.6262373447418,2025-01-19 12:38:28.235814,2025-01-19 12:59:11.312460,0 days 00:20:43.076646,256,auto,0.9567149238484892,0.00038398335582158515,0.03970300520905197,COMPLETE
1,1,378.4333741903305,2025-01-19 12:59:11.313131,2025-01-19 13:28:42.300821,0 days 00:29:30.987690,512,0.001,0.9651986218038183,0.0014523486050574172,0.023519458770904177,COMPLETE
2,2,214.78882883787156,2025-01-19 13:28:42.301451,2025-01-19 13:57:18.271427,0 days 00:28:35.969976,512,0.1,0.980308684994334,1.0622847179879498e-05,0.04206323535506891,COMPLETE
3,3,292.8677954435349,2025-01-19 13:57:18.272136,2025-01-19 14:10:30.951293,0 days 00:13:12.679157,64,auto,0.9817367522676242,0.00010587757754365704,0.014413967550067373,COMPLETE
4,4,171.63199837207793,2025-01-19 14:10:30.951894,2025-01-19 14:29:49.867281,0 days 00:19:18.915387,256,0.1,0.9461952810783227,1.0957438383994613e-05,0.022447248862074776,COMPLETE
5,5,186.04145920276642,2025-01-19 14:29:49.868130,2025-01-19 14:45:06.891167,0 days 00:15:17.023037,128,0.1,0.916862121798412,0.0002143130068093854,0.022067999898081225,COMPLETE
6,6,331.3874185800552,2025-01-19 14:45:06.891769,2025-01-19 15:00:27.343623,0 days 00:15:20.451854,128,0.1,0.9116233616796938,0.0002618730407743374,0.042884185969680445,COMPLETE
7,7,230.34045124053955,2025-01-19 15:00:27.344275,2025-01-19 15:13:43.488448,0 days 00:13:16.144173,64,auto,0.9098254711832113,8.148607446863707e-05,0.022072696481583526,COMPLETE
8,8,183.19906437397003,2025-01-19 15:13:43.489086,2025-01-19 15:28:54.258842,0 days 00:15:10.769756,128,0.001,0.9355350220013503,1.24357555852231e-05,0.009129475101305275,COMPLETE
9,9,12.30558284521103,2025-01-19 15:28:54.259752,2025-01-19 15:44:31.429287,0 days 00:15:37.169535,128,auto,0.9953360938857431,4.957681026946374e-05,0.013651446485425905,COMPLETE
10,10,543.7420960903167,2025-01-19 15:44:31.429961,2025-01-19 16:05:55.475217,0 days 00:21:24.045256,256,0.01,0.9561562718048512,0.00891564672083521,0.03656056567879318,COMPLETE
11,11,382.25040217638013,2025-01-19 16:05:55.489279,2025-01-19 16:26:59.259357,0 days 00:21:03.770078,256,0.01,0.9600637865897094,0.00800319284897577,0.0348091021605464,COMPLETE
12,12,176.94983270168305,2025-01-19 16:26:59.259999,2025-01-19 16:47:23.356337,0 days 00:20:24.096338,256,0.01,0.9320609459294127,0.0014909532121710532,0.049926174017286634,COMPLETE
13,13,356.02941941022874,2025-01-19 16:47:23.357510,2025-01-19 17:08:05.380766,0 days 00:20:42.023256,256,0.01,0.9543004418235705,0.005864999413427892,0.03423495597340427,COMPLETE
14,14,415.49709409475327,2025-01-19 17:08:05.381487,2025-01-19 17:29:16.778648,0 days 00:21:11.397161,256,auto,0.9718041976033188,0.0011379945186034664,0.03344196063057458,COMPLETE
15,15,547.3104200839996,2025-01-19 17:29:16.779271,2025-01-19 17:49:51.690701,0 days 00:20:34.911430,256,0.01,0.9746609142373427,0.002342548610908044,0.02943796830468235,COMPLETE
16,16,529.2265259951353,2025-01-19 17:49:51.691310,2025-01-19 18:10:34.310576,0 days 00:20:42.619266,256,0.01,0.9988547111433955,0.003597013868155372,0.030159579355993626,COMPLETE
17,17,372.47976698875425,2025-01-19 18:10:34.311500,2025-01-19 18:31:17.370547,0 days 00:20:43.059047,256,0.01,0.9391686778068391,0.0032362405409503167,0.028321446550765093,COMPLETE
18,18,296.16934540271757,2025-01-19 18:31:17.371245,2025-01-19 18:44:12.178141,0 days 00:12:54.806896,64,0.01,0.9829917638515737,0.0005469665310774209,0.04660223096342882,COMPLETE
19,19,625.2836363554001,2025-01-19 18:44:12.178775,2025-01-19 19:14:39.908943,0 days 00:30:27.730168,512,0.01,0.971183525213901,0.00979388945725692,0.036206863018810154,COMPLETE
